,nodos,número nodos adyacentes,pagerank,centralidad,comBPart
72,hoy,11,0.000981056215964,0.000957002401511,0
73,lan,1,0.000180307925498,0.0,5
74,jeroham,1,0.000353968744135,0.0,8
75,lad,21,0.00127500574564,0.00165344951099,3
76,viñ,4,0.000426947772611,0.000429661062061,3
77,arca,8,0.000559084007834,9.28042425768e-05,1
78,palabr,55,0.00243738032696,0.00471177805529,0
79,lav,8,0.000562101944122,0.000793710731738,10
80,arco,1,0.000333645988036,0.0,16
81,orden,14,0.000922989507927,0.000849131280496,1
82,amorre,6,0.000783293578359,0.00139697654028,7
83,diecioch,2,0.000180307925498,0.0,5
84,principi,1,0.000180307925498,0.0,2
85,entes,1,0.000180307925498,0.0,16
86,zeb,1,0.000180307925498,0.0,17
87,fortalez,2,0.000400407076886,0.0,1
88,asiri,1,0.000391345139098,0.0,2
89,zer,1,0.000353968744135,0.0,8
90,ovej,12,0.00154777962287,0.00230046919185,5
91,cortin,5,0.000315743218703,0.00010864639348,3
92,fortalec,1,0.000180307925498,0.0,10
93,mayor,3,0.00274784201558,0.0,8
94,destru,11,0.000571242284159,0.000367615598048,7
95,fij,1,0.000180307925498,0.0,9
96,fin,5,0.00104756384929,0.00275786707892,5
97,enemig,10,0.00108802655628,0.000484754628663,10
98,fil,3,0.000336031199558,3.46872290232e-05,10
99,primogenit,6,0.000641573820697,3.3285010571e-05,8
100,sadoc,4,0.000416738008562,6.76083926412e-05,0
101,cubiert,1,0.000180307925498,0.0,10
102,parecier,2,0.000323005985443,0.0,1
103,bani,1,0.000353968744135,0.0,8
104,sodom,2,0.000391345139098,0.000429661062061,2
105,sidr,1,0.000260634942829,0.0,0
106,arroj,1,0.000180307925498,0.0,7
107,corrient,2,0.000359780601889,0.0,3
108,obedec,2,0.000205202634744,1.07966835217e-06,0
109,arroy,3,0.000288772809277,0.000429238583141,3
110,guarnicion,1,0.000180307925498,0.0,0
111,cilici,1,0.000180307925498,0.0,18
112,espad,17,0.00218632825577,0.00411134990306,10
113,sabidur,7,0.0004646942916,0.000874273677973,7
114,muert,42,0.00507750604138,0.00623611969931,10
115,jerobaal,1,0.000353968744135,0.0,8
116,decret,2,0.000429234795102,0.0,1
117,goz,5,0.000415175059392,1.42953834833e-05,15
118,maqu,2,0.000353968744135,0.0,8
119,entran,1,0.000180307925498,0.0,7
120,anduv,2,0.000299476235064,0.0,1
121,entrab,1,0.000180307925498,0.0,0
122,bienaventur,2,0.000180307925498,0.0,15
123,cay,1,0.000260462009632,0.0,4
124,entrad,7,0.000336432309462,0.00059482761825,3
125,ramot,1,0.000180307925498,0.0,2
126,entrar,7,0.000252113090713,1.71794298134e-05,2
127,desmay,1,0.000208161548987,0.0,15
128,hech,42,0.00263672665172,0.00240859480039,1
129,isa,9,0.00133754577371,0.000485384189032,0
130,saduce,1,0.000383309688565,0.0,0
131,zabulon,2,0.000397004981103,0.0,8
132,aflig,2,0.000180307925498,0.0,19
133,bendec,4,0.000299476235064,0.0,15
134,iniqu,6,0.00068022297912,2.41439639841e-05,13
135,servici,2,0.000180307925498,0.0,3
136,ofrend,24,0.00147077030787,0.00465502411342,13
137,tom,73,0.00376422922488,0.0193342117159,7
138,toc,5,0.000470763265963,0.000859322124123,10
139,tod,125,0.00816782528169,0.0281122626962,7
140,transgresion,1,0.000292331736869,0.0,7
141,dign,3,0.000299476235064,7.14335465134e-05,1
142,conserv,1,0.000180307925498,0.0,1
